iter	Passed	Remaining
0	157	157249
1	164	81976
2	166	55331
3	168	42071
4	170	33969
5	172	28567
6	174	24753
7	180	22377
8	182	20056
9	183	18208
10	186	16808
11	189	15600
12	203	15476
13	208	14699
14	213	14020
15	215	13230
16	216	12537
17	218	11940
18	221	11453
19	226	11080
20	227	10625
21	229	10215
22	231	9828
23	233	9477
24	238	9282
25	247	9286
26	249	8995
27	251	8740
28	253	8488
29	255	8254
30	257	8036
31	264	7996
32	266	7795
33	267	7607
34	269	7428
35	273	7314
36	275	7164
37	277	7014
38	281	6927
39	282	6789
40	287	6713
41	289	6601
42	291	6496
43	293	6378
44	295	6262
45	296	6151
46	298	6049
47	300	5957
48	303	5898
49	305	5806
50	307	5715
51	309	5648
52	312	5575
53	313	5494
54	315	5418
55	317	5344
56	318	5272
57	320	5204
58	322	5137
59	326	5109
60	327	5047
61	329	4986
62	331	4927
63	333	4870
64	334	4817
65	337	4781
66	341	4752
67	343	4706
68	345	4656
69	346	4607
70	348	4561
71	350	4513
72	351	4466
73	354	4441
74	395	4873
75	397	4829
76	399	4783
77	400	4736
78	402	4691
79	440	5065
80	442	5015
81	443	4965
82	444	4907
83	445	4860
84	447	4813
85	448	4767
86	450	4731
87	452	4691
88	454	4651
89	455	4610
90	457	4569
91	458	4529
92	460	4490
93	462	4453
94	463	4415
95	470	4433
96	472	4396
97	473	4359
98	475	4324
99	496	4464
100	500	4458
101	502	4427
102	504	4394
103	506	4360
104	507	4327
105	509	4294
106	510	4262
107	512	4231
108	516	4219
109	518	4194
110	549	4399
111	550	4368
112	552	4335
113	553	4303
114	555	4271
115	556	4240
116	557	4207
117	558	4175
118	560	4146
119	562	4124
120	564	4102
121	565	4071
122	567	4045
123	569	4019
124	570	3993
125	572	3970
126	574	3946
127	575	3922
128	580	3919
129	582	3895
130	583	3871
131	586	3853
132	587	3830
133	589	3809
134	591	3787
135	594	3779
136	596	3758
137	598	3738
138	601	3725
139	603	3705
140	604	3685
141	605	3661
142	610	3661
143	612	3641
144	614	3622
145	617	3613
146	619	3594
147	621	3575
148	627	3583
149	629	3564
150	630	3544
151	631	3525
152	633	3507
153	634	3487
154	636	3468
155	637	3449
156	640	3440
157	642	3422
158	643	3405
159	645	3388
160	646	3369
161	647	3351
162	649	3333
163	650	3316
164	651	3298
165	655	3291
166	657	3279
167	658	3263
168	660	3246
169	661	3230
170	663	3214
171	664	3198
172	665	3182
173	667	3168
174	671	3163
175	673	3151
176	675	3138
177	679	3136
178	680	3122
179	681	3106
180	683	3091
181	687	3091
182	689	3077
183	691	3066
184	692	3052
185	696	3046
186	697	3032
187	700	3025
188	702	3013
189	703	3000
190	705	2986
191	706	2973
192	708	2960
193	709	2947
194	710	2934
195	712	2920
196	715	2915
197	717	2905
198	719	2894
199	720	2881
200	721	2869
201	723	2857
